id,prefix,title,domain,status,version,updated,lines,path
CALC-BT-001,CALC,蓄电池容量计算（建筑应急照明集中电源与电力工程直流系统双体系）,CALC,published,1.0,2026-09-08,124,docs\40-calc\CALC-BT-001-battery-capacity.md
CALC-BT-002,CALC,UPS蓄电池autonomy校核（数据中心在线式UPS）,CALC,draft,0.1,2026-09-09,128,docs\40-calc\CALC-BT-002-ups-battery-autonomy.md
CALC-CD-001,CALC,电缆载流量计算与校正系数体系,CALC,draft,0.1,2026-09-09,170,docs\40-calc\CALC-CD-001-cable-ampacity-correction.md
CALC-DG-001,CALC,柴油发电机容量选择与启动校验,CALC,draft,0.1,2026-09-09,198,docs\40-calc\CALC-DG-001-diesel-generator-capacity.md
CALC-FT-001,CALC,弧光接地过电压计算（IT 系统间歇电弧/重燃系数/抑制措施选型）,CALC,draft,0.1,2026-09-10,147,docs\40-calc\CALC-FT-001-arc-ground-overvoltage-and-suppression.md
CALC-GR-001,CALC,变电站接地网设计计算（GB/T 50065 / IEEE 80）,CALC,draft,0.1,2026-09-09,200,docs\40-calc\CALC-GR-001-grounding-grid-design.md
CALC-GR-002,CALC,接地故障电流精确计算（含零序网络/变压器接地方式/中性点设备影响）,CALC,draft,0.1,2026-09-10,131,docs\40-calc\CALC-GR-002-ground-fault-current-with-zero-sequence.md
CALC-HM-001,CALC,谐波潮流计算与电能质量校核,CALC,draft,0.1,2026-09-09,153,docs\40-calc\CALC-HM-001-harmonic-power-flow.md
CALC-LD-001,CALC,需要系数法负荷计算（含功率因数补偿校核）,CALC,published,1.0,2026-09-08,128,docs\40-calc\CALC-LD-001-demand-factor-method.md
CALC-LT-001,CALC,利用系数法照度计算（LED 时代校准）,CALC,published,1.0,2026-09-08,119,docs\40-calc\CALC-LT-001-lumen-method.md
CALC-LT-002,CALC,照度逐点校验法（点照度法）,CALC,draft,0.1,2026-09-09,116,docs\40-calc\CALC-LT-002-point-illuminance-method.md
CALC-MS-001,CALC,电动机启动压降校验,CALC,draft,0.1,2026-09-09,193,docs\40-calc\CALC-MS-001-motor-starting-voltage-drop.md
CALC-MS-002,CALC,电动机温升计算与绝缘等级校核,CALC,draft,0.1,2026-09-09,143,docs\40-calc\CALC-MS-002-motor-temperature-rise.md
CALC-MS-003,CALC,电动机软启动器选型计算（变频/固态/自耦 三种方案比较）,CALC,draft,0.1,2026-09-10,166,docs\40-calc\CALC-MS-003-motor-soft-starter-selection.md
CALC-PT-001,CALC,低压断路器保护整定与灵敏度校验,CALC,published,1.0,2026-09-08,153,docs\40-calc\CALC-PT-001-protection-setting.md
CALC-PT-002,CALC,高压线路距离保护整定（三段式距离保护）,CALC,draft,0.1,2026-09-09,143,docs\40-calc\CALC-PT-002-distance-protection-setting.md
CALC-RC-001,CALC,无功补偿容量计算与电抗率选择,CALC,published,1.0,2026-09-08,138,docs\40-calc\CALC-RC-001-reactive-compensation.md
CALC-SC-001,CALC,低压系统三相短路电流计算（等效电压源法）,CALC,published,1.0,2026-09-08,173,docs\40-calc\CALC-SC-001-低压三相短路电流计算.md
CALC-SC-002,CALC,高压系统三相短路电流计算（IEC 60909 网络法）,CALC,draft,0.1,2026-09-09,184,docs\40-calc\CALC-SC-002-hv-short-circuit-iec60909.md
CALC-SC-003,CALC,短路电流直流分量（非周期分量）衰减计算（派克方程应用/断路器直流分量耐受校验）,CALC,draft,0.1,2026-09-10,157,docs\40-calc\CALC-SC-003-dc-component-decay-and-breaker-dc-rating.md
CALC-VL-001,CALC,电压偏差与电压损失计算,CALC,draft,0.1,2026-09-09,164,docs\40-calc\CALC-VL-001-voltage-deviation-and-loss.md
CASE-001,CASE,2026供配电真题拆解：综合楼负荷分级与需要系数法,CASE,draft,0.1,2026-09-09,119,docs\50-case\CASE-001-exam-load-classification.md
CASE-002,CASE,校审驳回：应急照明仅配双电源未设蓄电池,CASE,draft,0.1,2026-09-09,109,docs\50-case\CASE-002-review-emergency-lighting.md
CASE-003,CASE,事故复盘：10kV变压器空投涌流致差动保护误动,CASE,draft,0.1,2026-09-09,113,docs\50-case\CASE-003-accident-transformer-inrush.md
CASE-004,CASE,综合案例：1MW/2MWh用户侧储能接入多专业协同,CASE,draft,0.1,2026-09-09,127,docs\50-case\CASE-004-composite-energy-storage.md
CASE-005,CASE,校审驳回：整流负荷变压器未按K因子降容,CASE,draft,0.1,2026-09-09,163,docs\50-case\CASE-005-review-transformer-harmonic-derating.md
CASE-006,CASE,事故复盘：10kV电缆中间接头过热引发火灾,CASE,draft,0.1,2026-09-09,154,docs\50-case\CASE-006-accident-cable-joint-fire.md
CASE-007,CASE,2024供配电真题拆解：独立避雷针接地与跨步电压校验,CASE,draft,0.1,2026-09-09,172,docs\50-case\CASE-007-exam-lightning-grounding.md
CASE-008,CASE,综合案例：A级数据中心2N供配电多专业协同,CASE,draft,0.1,2026-09-09,180,docs\50-case\CASE-008-composite-data-center.md
CASE-009,CASE,校审驳回：医疗2类场所误选TN-S未设IT系统,CASE,draft,0.1,2026-09-09,156,docs\50-case\CASE-009-review-neutral-grounding.md
CASE-010,CASE,校审驳回：低压柜PE线截面未按相线截面匹配,CASE,draft,0.1,2026-09-09,148,docs\50-case\CASE-010-review-pe-conductor-size.md
CASE-011,CASE,事故复盘：变电站直流系统一点接地致保护误动,CASE,draft,0.1,2026-09-09,149,docs\50-case\CASE-011-accident-dc-ground-fault.md
CASE-012,CASE,2022供配电真题拆解：电缆截面选择与电压降校验,CASE,draft,0.1,2026-09-09,179,docs\50-case\CASE-012-exam-cable-voltage-drop.md
CASE-013,CASE,综合案例：工业园区光储充微电网协同设计,CASE,draft,0.1,2026-09-09,205,docs\50-case\CASE-013-composite-pv-es-eva-microgrid.md
CASE-014,CASE,校审驳回：消防泵房未设末端双电源自动切换,CASE,draft,0.1,2026-09-09,145,docs\50-case\CASE-014-review-fire-pump-end-transfer.md
CASE-015,CASE,校审驳回：变配电所未深入负荷中心致电压降超标,CASE,draft,0.1,2026-09-09,173,docs\50-case\CASE-015-review-substation-location-voltage.md
CASE-016,CASE,事故复盘：0.4kV低压柜带电作业电弧光短路烧伤,CASE,draft,0.1,2026-09-09,188,docs\50-case\CASE-016-accident-arc-flash-burn.md
CASE-017,CASE,2020供配电真题拆解：电动机启动压降校验与启动方式选择,CASE,draft,0.1,2026-09-09,188,docs\50-case\CASE-017-exam-motor-starting-voltage-drop.md
CASE-018,CASE,综合案例：工业园区10/0.4kV变电所多专业协同设计,CASE,draft,0.1,2026-09-09,249,docs\50-case\CASE-018-composite-industrial-substation.md
CASE-019,CASE,校审驳回：电缆敷设跨越防火分区未做防火封堵,CASE,draft,0.1,2026-09-09,212,docs\50-case\CASE-019-review-cable-fire-compartmentation.md
CASE-020,CASE,事故复盘：35/10kV油浸变压器内部短路起火爆炸,CASE,draft,0.1,2026-09-09,232,docs\50-case\CASE-020-accident-oil-transformer-fire.md
